# Matter power spectrum P(k) at redshift z=0
# for k=0.000516752 to 1.34824 h/Mpc,
# number of wavenumbers equal to 759
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.896059532826e-01       3.104890187540e+02 
       6.928345494666e-01       3.072935013446e+02 
       6.960631457327e-01       3.041457004907e+02 
       6.992917420799e-01       3.010460717624e+02 
       7.025203385070e-01       2.979928464941e+02 
       7.057489350129e-01       2.949846856826e+02 
       7.089775315965e-01       2.920195794166e+02 
       7.122061282569e-01       2.890946376370e+02 
       7.154347249928e-01       2.862095920458e+02 
       7.186633218034e-01       2.833636439341e+02 
       7.218919186876e-01       2.805580891578e+02 
       7.251205156444e-01       2.777922297700e+02 
       7.283491126729e-01       2.750650971693e+02 
       7.315777097721e-01       2.723747690212e+02 
       7.348063069411e-01       2.697202786166e+02 
       7.380349041789e-01       2.670995752569e+02 
       7.412635014847e-01       2.645127945542e+02 
       7.444920988575e-01       2.619598140643e+02 
       7.477206962966e-01       2.594419144182e+02 
       7.509492938010e-01       2.569589798954e+02 
       7.541778913699e-01       2.545105812705e+02 
       7.574064890024e-01       2.520952223969e+02 
       7.606350866979e-01       2.497116507230e+02 
       7.638636844554e-01       2.473587137256e+02 
       7.670922822741e-01       2.450346520619e+02 
       7.703208801534e-01       2.427420052530e+02 
       7.735494780925e-01       2.404796627917e+02 
       7.767780760905e-01       2.382479341649e+02 
       7.800066741468e-01       2.360463955227e+02 
       7.832352722606e-01       2.338734245608e+02 
       7.864638704313e-01       2.317275538767e+02 
       7.896924686581e-01       2.296070540133e+02 
       7.929210669404e-01       2.275135730842e+02 
       7.961496652775e-01       2.254462477516e+02 
       7.993782636686e-01       2.234051250721e+02 
       8.026068621132e-01       2.213911373499e+02 
       8.058354606106e-01       2.194025670664e+02 
       8.090640591602e-01       2.174398487349e+02 
       8.122926577614e-01       2.155005351119e+02 
       8.155212564135e-01       2.135840274881e+02 
       8.187498551159e-01       2.116903541978e+02 
       8.219784538680e-01       2.098194273115e+02 
       8.252070526694e-01       2.079731348537e+02 
       8.284356515193e-01       2.061494363655e+02 
       8.316642504172e-01       2.043496696377e+02 
       8.348928493626e-01       2.025716590226e+02 
       8.381214483548e-01       2.008145430477e+02 
       8.413500473935e-01       1.990778828015e+02 
       8.445786464780e-01       1.973613323803e+02 
       8.478072456077e-01       1.956653709046e+02 
       8.510358447823e-01       1.939903863111e+02 
       8.542644440012e-01       1.923360084626e+02 
       8.574930432638e-01       1.907018226840e+02 
