# Matter power spectrum P(k) at redshift z=0
# for k=0.000516752 to 1.34824 h/Mpc,
# number of wavenumbers equal to 759
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.085482036004e-01       3.519804310736e+03 
       2.117767119873e-01       3.398367403551e+03 
       2.150052232983e-01       3.279566674023e+03 
       2.182337374025e-01       3.165961007453e+03 
       2.214622541768e-01       3.059615036519e+03 
       2.246907735054e-01       2.961945093540e+03 
       2.279192952788e-01       2.873715269477e+03 
       2.311478193940e-01       2.795067200527e+03 
       2.343763457534e-01       2.725526954328e+03 
       2.376048742650e-01       2.664116996004e+03 
       2.408334048417e-01       2.609399505719e+03 
       2.440619374009e-01       2.559684901557e+03 
       2.472904718644e-01       2.513171518108e+03 
       2.505190081583e-01       2.468145846344e+03 
       2.537475462122e-01       2.423118107329e+03 
       2.569760859594e-01       2.376983636695e+03 
       2.602046273364e-01       2.329016157641e+03 
       2.634331702829e-01       2.278922630459e+03 
       2.666617147416e-01       2.226767876511e+03 
       2.698902606579e-01       2.172966790770e+03 
       2.731188079798e-01       2.118174105769e+03 
       2.763473566578e-01       2.063228583341e+03 
       2.795759066446e-01       2.009051707377e+03 
       2.828044578952e-01       1.956541906201e+03 
       2.860330103664e-01       1.906468355469e+03 
       2.892615640172e-01       1.859403266435e+03 
       2.924901188084e-01       1.815680328893e+03 
       2.957186747023e-01       1.775345433495e+03 
       2.989472316631e-01       1.738266459062e+03 
       3.021757896564e-01       1.704081851253e+03 
       3.054043486492e-01       1.672359911859e+03 
       3.086329086101e-01       1.642586870458e+03 
       3.118614695087e-01       1.614231769738e+03 
       3.150900313162e-01       1.586763817041e+03 
       3.183185940048e-01       1.559713283841e+03 
       3.215471575477e-01       1.532684326338e+03 
       3.247757219194e-01       1.505397949262e+03 
       3.280042870952e-01       1.477706646303e+03 
       3.312328530516e-01       1.449585276315e+03 
       3.344614197658e-01       1.421154399627e+03 
       3.376899872161e-01       1.392612796993e+03 
       3.409185553813e-01       1.364204717550e+03 
       3.441471242412e-01       1.336203636405e+03 
       3.473756937765e-01       1.308834122790e+03 
       3.506042639684e-01       1.282344259654e+03 
       3.538328347987e-01       1.256886693001e+03 
       3.570614062502e-01       1.232592014431e+03 
       3.602899783060e-01       1.209527028413e+03 
       3.635185509500e-01       1.187683025403e+03 
       3.667471241666e-01       1.166994423353e+03 
       3.699756979406e-01       1.147339767654e+03 
       3.732042722577e-01       1.128552404063e+03 
       3.764328471037e-01       1.110447948893e+03 
       3.796614224651e-01       1.092830628761e+03 
       3.828899983288e-01       1.075555322719e+03 
       3.861185746821e-01       1.058516763521e+03 
       3.893471515129e-01       1.041593221147e+03 
       3.925757288093e-01       1.024780466592e+03 
       3.958043065598e-01       1.008016790443e+03 
       3.990328847535e-01       9.913310118449e+02 
       4.022614633795e-01       9.747506856302e+02 
       4.054900424275e-01       9.583342218906e+02 
       4.087186218875e-01       9.421247251879e+02 
       4.119472017497e-01       9.262262217438e+02 
       4.151757820047e-01       9.106928449709e+02 
       4.184043626435e-01       8.955911277131e+02 
       4.216329436571e-01       8.809545915071e+02 
       4.248615250369e-01       8.667949908058e+02 
       4.280901067747e-01       8.531069804043e+02 
       4.313186888624e-01       8.398720211975e+02 
       4.345472712922e-01       8.270735021726e+02 
       4.377758540564e-01       8.146778946550e+02 
       4.410044371477e-01       8.026507850859e+02 
       4.442330205589e-01       7.909516944724e+02 
       4.474616042831e-01       7.795281321957e+02 
       4.506901883135e-01       7.683330175625e+02 
       4.539187726437e-01       7.573239059884e+02 
       4.571473572671e-01       7.464504961919e+02 
       4.603759421776e-01       7.357100633895e+02 
       4.636045273692e-01       7.250886765481e+02 
       4.668331128360e-01       7.145906941535e+02 
       4.700616985724e-01       7.042250090053e+02 
       4.732902845728e-01       6.940028880310e+02 
       4.765188708319e-01       6.839356107879e+02 
       4.797474573443e-01       6.740393408923e+02 
       4.829760441050e-01       6.643309942679e+02 
       4.862046311091e-01       6.548318717810e+02 
       4.894332183516e-01       6.455546796157e+02 
       4.926618058279e-01       6.365117372754e+02 
       4.958903935335e-01       6.277127722573e+02 
       4.991189814638e-01       6.191479727038e+02 
       5.023475696145e-01       6.108019204477e+02 
       5.055761579813e-01       6.026483273598e+02 
       5.088047465602e-01       5.946764328266e+02 
       5.120333353471e-01       5.868655633583e+02 
       5.152619243381e-01       5.792002907415e+02 
       5.184905135294e-01       5.716697310492e+02 
       5.217191029172e-01       5.642570609985e+02 
       5.249476924979e-01       5.569568924036e+02 
       5.281762822680e-01       5.497584046617e+02 
       5.314048722239e-01       5.426532539763e+02 
       5.346334623624e-01       5.356451638321e+02 
       5.378620526801e-01       5.287369792861e+02 
       5.410906431737e-01       5.219352893783e+02 
       5.443192338403e-01       5.152502120306e+02 
       5.475478246766e-01       5.086880086282e+02 
       5.507764156797e-01       5.022467779301e+02 
       5.540050068467e-01       4.959270681462e+02 
       5.572335981747e-01       4.897283278575e+02 
       5.604621896609e-01       4.836497029690e+02 
       5.636907813027e-01       4.776848373262e+02 
       5.669193730972e-01       4.718383967241e+02 
       5.701479650420e-01       4.661064813262e+02 
       5.733765571345e-01       4.604856090358e+02 
       5.766051493722e-01       4.549688493444e+02 
       5.798337417526e-01       4.495465769226e+02 
       5.830623342735e-01       4.442128188149e+02 
       5.862909269324e-01       4.389617570289e+02 
       5.895195197270e-01       4.337920534573e+02 
       5.927481126553e-01       4.286998297683e+02 
       5.959767057149e-01       4.236878341183e+02 
       5.992052989038e-01       4.187513575131e+02 
       6.024338922199e-01       4.138888627006e+02 
       6.056624856610e-01       4.090996120405e+02 
       6.088910792254e-01       4.043792893954e+02 
       6.121196729109e-01       3.997276938600e+02 
       6.153482667157e-01       3.951472874533e+02 
       6.185768606378e-01       3.906395972894e+02 
       6.218054546756e-01       3.862105942376e+02 
       6.250340488271e-01       3.818563012789e+02 
       6.282626430906e-01       3.775765424144e+02 
       6.314912374645e-01       3.733680201899e+02 
       6.347198319469e-01       3.692299903862e+02 
       6.379484265362e-01       3.651546391468e+02 
       6.411770212309e-01       3.611441878856e+02 
       6.444056160294e-01       3.571975562730e+02 
       6.476342109300e-01       3.533141188605e+02 
       6.508628059313e-01       3.494920761945e+02 
       6.540914010318e-01       3.457277308107e+02 
       6.573199962299e-01       3.420175651485e+02 
       6.605485915244e-01       3.383591938459e+02 
       6.637771869137e-01       3.347509583089e+02 
       6.670057823964e-01       3.311929419246e+02 
       6.702343779713e-01       3.276865240131e+02 
       6.734629736370e-01       3.242316501375e+02 
       6.766915693922e-01       3.208282625551e+02 
       6.799201652356e-01       3.174754205484e+02 
       6.831487611659e-01       3.141700931128e+02 
       6.863773571820e-01       3.109108612427e+02 
       6.896059532826e-01       3.076980987297e+02 
       6.928345494666e-01       3.045312556588e+02 
       6.960631457327e-01       3.014117021660e+02 
       6.992917420799e-01       2.983398914252e+02 
       7.025203385070e-01       2.953140682420e+02 
       7.057489350129e-01       2.923329040282e+02 
       7.089775315965e-01       2.893944079470e+02 
       7.122061282569e-01       2.864957201113e+02 
       7.154347249928e-01       2.836365702593e+02 
       7.186633218034e-01       2.808161660846e+02 
       7.218919186876e-01       2.780357938159e+02 
       7.251205156444e-01       2.752947617481e+02 
       7.283491126729e-01       2.725921105917e+02 
       7.315777097721e-01       2.699259341259e+02 
       7.348063069411e-01       2.672952720784e+02 
       7.380349041789e-01       2.646980955479e+02 
       7.412635014847e-01       2.621345387495e+02 
       7.444920988575e-01       2.596044800896e+02 
       7.477206962966e-01       2.571091860321e+02 
       7.509492938010e-01       2.546485438501e+02 
       7.541778913699e-01       2.522221281017e+02 
       7.574064890024e-01       2.498284582187e+02 
       7.606350866979e-01       2.474662888337e+02 
       7.638636844554e-01       2.451344786345e+02 
       7.670922822741e-01       2.428312859050e+02 
       7.703208801534e-01       2.405592277453e+02 
       7.735494780925e-01       2.383172019495e+02 
       7.767780760905e-01       2.361055140266e+02 
       7.800066741468e-01       2.339237450295e+02 
       7.832352722606e-01       2.317702894749e+02 
       7.864638704313e-01       2.296436917042e+02 
       7.896924686581e-01       2.275422361400e+02 
       7.929210669404e-01       2.254675562504e+02 
       7.961496652775e-01       2.234187984361e+02 
       7.993782636686e-01       2.213960096264e+02 
       8.026068621132e-01       2.194001120340e+02 
       8.058354606106e-01       2.174294019731e+02 
       8.090640591602e-01       2.154843128363e+02 
       8.122926577614e-01       2.135624197987e+02 
       8.155212564135e-01       2.116631284214e+02 
       8.187498551159e-01       2.097864652769e+02 
       8.219784538680e-01       2.079323443864e+02 
       8.252070526694e-01       2.061026372739e+02 
       8.284356515193e-01       2.042953230923e+02 
       8.316642504172e-01       2.025117246666e+02 
       8.348928493626e-01       2.007496867371e+02 
       8.381214483548e-01       1.990083561274e+02 
       8.413500473935e-01       1.972872985902e+02 
       8.445786464780e-01       1.955861708343e+02 
       8.478072456077e-01       1.939054466299e+02 
       8.510358447823e-01       1.922455098650e+02 
       8.542644440012e-01       1.906059965017e+02 
       8.574930432638e-01       1.889864944734e+02 
       8.607216425698e-01       1.873866470215e+02 
       8.639502419185e-01       1.858044285754e+02 
       8.671788413095e-01       1.842403148670e+02 
       8.704074407424e-01       1.826937622685e+02 
       8.736360402167e-01       1.811651440846e+02 
       8.768646397320e-01       1.796549499186e+02 
       8.800932392877e-01       1.781630455473e+02 
       8.833218388834e-01       1.766888357289e+02 
