# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   81       4.167327218780e+03       1.118049961608e+00       1.440173852647e-02      -4.599102331255e+01       4.117535983984e-07      -1.657310583010e-03      -2.169201994737e-07 
   82       4.228167409468e+03       1.114084727084e+00       1.478064540756e-02      -4.628087009156e+01       4.093020651195e-07      -1.634497044743e-03      -2.059008515982e-07 
   83       4.288546707352e+03       1.108647871842e+00       1.516537990157e-02      -4.649934562865e+01       4.068504147258e-07      -1.612115952501e-03      -1.952683442762e-07 
   84       4.348404777013e+03       1.101774538817e+00       1.555595384809e-02      -4.664482820288e+01       4.043954674798e-07      -1.590100972212e-03      -1.850554073219e-07 
   85       4.407680834328e+03       1.093507084187e+00       1.595237580116e-02      -4.671574518176e+01       4.019299025993e-07      -1.568381146290e-03      -1.752836847384e-07 
   86       4.466324673584e+03       1.083894768154e+00       1.635464893091e-02      -4.671027824377e+01       3.994625704284e-07      -1.546984178262e-03      -1.659456750592e-07 
   87       4.524287211921e+03       1.072994436673e+00       1.676277260002e-02      -4.662662144683e+01       3.970022140365e-07      -1.525953005515e-03      -1.570172621526e-07 
   88       4.581517075045e+03       1.060870910896e+00       1.717674285628e-02      -4.646307623736e+01       3.945506450346e-07      -1.505314073082e-03      -1.484617344853e-07 
   89       4.637960521537e+03       1.047597215108e+00       1.759655232625e-02      -4.621805634750e+01       3.921017193883e-07      -1.485075717099e-03      -1.402288340302e-07 
   90       4.693560669689e+03       1.033253954733e+00       1.802219025207e-02      -4.589013379208e+01       3.896462614183e-07      -1.465225696730e-03      -1.322705065635e-07 
   91       4.748255205372e+03       1.017926843370e+00       1.845364284034e-02      -4.547817437184e+01       3.871911017827e-07      -1.445726853120e-03      -1.245945641823e-07 
   92       4.801978177201e+03       1.001709210496e+00       1.889089277147e-02      -4.498123232891e+01       3.847438717097e-07      -1.426517376812e-03      -1.172216660852e-07 
   93       4.854660577620e+03       9.847030297210e-01       1.933391895836e-02      -4.439851654302e+01       3.823067918607e-07      -1.407509723820e-03      -1.101693795873e-07 
   94       4.906230256985e+03       9.670191342658e-01       1.978269644212e-02      -4.372939603091e+01       3.798759142931e-07      -1.388588731605e-03      -1.034518741633e-07 
   95       4.956619513488e+03       9.487757511780e-01       2.023719641996e-02      -4.297338554424e+01       3.774448888129e-07      -1.369653589917e-03      -9.707663855815e-08 
   96       5.005789327482e+03       9.300933898594e-01       2.069738655975e-02      -4.213008801246e+01       3.750193728923e-07      -1.350758717399e-03      -9.103449838309e-08 
   97       5.053708555902e+03       9.110995958515e-01       2.116323053890e-02      -4.119925376333e+01       3.726053342167e-07      -1.332000330642e-03      -8.530681872507e-08 
   98       5.100346589674e+03       8.919307557735e-01       2.163468781506e-02      -4.018080483726e+01       3.702043017940e-07      -1.313474941070e-03      -7.986783150842e-08 
   99       5.145673368811e+03       8.727322906799e-01       2.211171352357e-02      -3.907484022479e+01       3.678127827466e-07      -1.295279042057e-03      -7.468416610773e-08 
  100       5.189653988465e+03       8.536564887107e-01       2.259425773573e-02      -3.788161862113e+01       3.654253556120e-07      -1.277491310197e-03      -6.972206591000e-08 
  101       5.232231621501e+03       8.348552386143e-01       2.308226333644e-02      -3.660149261701e+01       3.630463442369e-07      -1.260115630531e-03      -6.497184390305e-08 
  102       5.273342217215e+03       8.164866316069e-01       2.357566765677e-02      -3.523497497014e+01       3.606802399119e-07      -1.243125518353e-03      -6.042766450441e-08 
  103       5.312919648039e+03       7.987173943629e-01       2.407440297784e-02      -3.378276517281e+01       3.583278483265e-07      -1.226479581199e-03      -5.608006484724e-08 
  104       5.350895660364e+03       7.817230543246e-01       2.457839642063e-02      -3.224575442229e+01       3.559858349864e-07      -1.210120505318e-03      -5.191571704483e-08 
  105       5.387208800324e+03       7.656844085749e-01       2.508756857934e-02      -3.062498363795e+01       3.536495753705e-07      -1.193989889479e-03      -4.792185083630e-08 
  106       5.421832657096e+03       7.507760365696e-01       2.560182945012e-02      -2.892150041668e+01       3.513236600242e-07      -1.178078441184e-03      -4.410107375171e-08 
  107       5.454751325725e+03       7.371765511067e-01       2.612108174943e-02      -2.713649211482e+01       3.490132807893e-07      -1.162383894615e-03      -4.045906433122e-08 
  108       5.485950816820e+03       7.250722813948e-01       2.664522199957e-02      -2.527133550233e+01       3.467208261748e-07      -1.146895443459e-03      -3.700006182326e-08 
  109       5.515419104142e+03       7.146573985091e-01       2.717414040509e-02      -2.332760122702e+01       3.444455428956e-07      -1.131593145221e-03      -3.372675877271e-08 
  110       5.543146172194e+03       7.061340408467e-01       2.770772072898e-02      -2.130705827873e+01       3.421831814694e-07      -1.116447312269e-03      -3.064019120810e-08 
  111       5.569118017033e+03       6.997074649821e-01       2.824583986148e-02      -1.921164840515e+01       3.399286025863e-07      -1.101432102748e-03      -2.773971133672e-08 
  112       5.593297681903e+03       6.955705302629e-01       2.878836672908e-02      -1.704339609968e+01       3.376851869339e-07      -1.086570611366e-03      -2.502314609818e-08 
  113       5.615641893597e+03       6.939174716040e-01       2.933516301484e-02      -1.480449550041e+01       3.354570946113e-07      -1.071897170286e-03      -2.248645880918e-08 
  114       5.636106883463e+03       6.949487746623e-01       2.988608332830e-02      -1.249734354433e+01       3.332462535943e-07      -1.057443644196e-03      -2.012355182763e-08 
  115       5.654648376635e+03       6.988712532750e-01       3.044097507889e-02      -1.012454414149e+01       3.310521061974e-07      -1.043239181419e-03      -1.792614728118e-08 
  116       5.671221581255e+03       7.058981268980e-01       3.099967834923e-02      -7.688912349181e+00       3.288713442496e-07      -1.029309959136e-03      -1.588366543873e-08 
  117       5.685787479097e+03       7.162426721445e-01       3.156202889613e-02      -5.193372924265e+00       3.267000946002e-07      -1.015674474532e-03      -1.398437206131e-08 
  118       5.698332580757e+03       7.300981437697e-01       3.212786783479e-02      -2.640633187947e+00       3.245416956394e-07      -1.002329017280e-03      -1.221932796688e-08 
  119       5.708851543320e+03       7.476555668514e-01       3.269703288974e-02      -3.347837519477e-02       3.224002591330e-07      -9.892590855542e-04      -1.057891968870e-08 
  120       5.717341125639e+03       7.691099673784e-01       3.326935527327e-02       2.625123052443e+00       3.202781926535e-07      -9.764432146969e-04      -9.051554619650e-09 
  121       5.723800232328e+03       7.946603938360e-01       3.384465958589e-02       5.332016150728e+00       3.181760126300e-07      -9.638525731338e-04      -7.623561878382e-09 
  122       5.728229957758e+03       8.245099387906e-01       3.442276371692e-02       8.083856236626e+00       3.160921494588e-07      -9.514505504325e-04      -6.279091382815e-09 
  123       5.730633630045e+03       8.588657604755e-01       3.500347874494e-02       1.087710563219e+01       3.140227445390e-07      -9.391923375146e-04      -5.000011130823e-09 
  124       5.731016161850e+03       8.979312567999e-01       3.558661478176e-02       1.370815426739e+01       3.119636450383e-07      -9.270381226792e-04      -3.771068791941e-09 
  125       5.729381925319e+03       9.418815316158e-01       3.617199946997e-02       1.657370398263e+01       3.099173760489e-07      -9.149961745476e-04      -2.596607058501e-09 
  126       5.725736716735e+03       9.908851596577e-01       3.675946141608e-02       1.947042209542e+01       3.078873459328e-07      -9.030863042903e-04      -1.486503572133e-09 
  127       5.720088466257e+03       1.045111744839e+00       3.734882438303e-02       2.239481919184e+01       3.058756479737e-07      -8.913267583616e-04      -4.511689421813e-10 
  128       5.712447276542e+03       1.104731881081e+00       3.793990723675e-02       2.534324682925e+01       3.038829242168e-07      -8.797340860499e-04       4.984386971283e-10 
  129       5.702825461374e+03       1.169917113143e+00       3.853252389269e-02       2.831189523912e+01       3.019082238478e-07      -8.683230042600e-04       1.350798957420e-09 
  130       5.691237584290e+03       1.240839897454e+00       3.912648326233e-02       3.129679102986e+01       2.999488560242e-07      -8.571062595292e-04       2.093814294814e-09 
  131       5.677698732782e+03       1.317665878914e+00       3.972159412984e-02       3.429386197997e+01       2.980018694908e-07      -8.460927783683e-04       2.719785364168e-09 
  132       5.662219048153e+03       1.400529861156e+00       4.031768049092e-02       3.729914420638e+01       2.960691931114e-07      -8.352820827458e-04       3.241284814198e-09 
  133       5.644808674774e+03       1.489557153054e+00       4.091456777832e-02       4.030859314541e+01       2.941533085022e-07      -8.246687044144e-04       3.677823771277e-09 
  134       5.625479497625e+03       1.584870928298e+00       4.151207806129e-02       4.331801665607e+01       2.922556145253e-07      -8.142436318541e-04       4.051175555831e-09 
  135       5.604245168684e+03       1.686592132896e+00       4.211003002634e-02       4.632307318839e+01       2.903763232587e-07      -8.039941217931e-04       4.385466976712e-09 
  136       5.581121133300e+03       1.794839392678e+00       4.270823895798e-02       4.931926995184e+01       2.885143520393e-07      -7.939035074211e-04       4.707271033640e-09 
  137       5.556124656585e+03       1.909728920807e+00       4.330651671944e-02       5.230196108370e+01       2.866672115197e-07      -7.839510032941e-04       5.045701027733e-09 
  138       5.529277149418e+03       2.031366655954e+00       4.390467550462e-02       5.526655487579e+01       2.848323162077e-07      -7.741184792278e-04       5.424491731201e-09 
  139       5.500611360342e+03       2.159823961029e+00       4.450253956940e-02       5.820916335679e+01       2.830114771467e-07      -7.644123924324e-04       5.836654429648e-09 
  140       5.470164976123e+03       2.295159240415e+00       4.509993467480e-02       6.112601629152e+01       2.812071055988e-07      -7.548448545862e-04       6.266102163921e-09 
  141       5.437978428828e+03       2.437425345426e+00       4.569668442829e-02       6.401325759307e+01       2.794207937806e-07      -7.454268816679e-04       6.695269031837e-09 
  142       5.404094936588e+03       2.586669433210e+00       4.629261028813e-02       6.686694479902e+01       2.776532387908e-07      -7.361683169536e-04       7.105056584046e-09 
  143       5.368560544372e+03       2.742932825651e+00       4.688753156770e-02       6.968304854766e+01       2.759041637964e-07      -7.270777525973e-04       7.474779455977e-09 
  144       5.331424164755e+03       2.906250868269e+00       4.748126543981e-02       7.245745205420e+01       2.741722364361e-07      -7.181624497906e-04       7.782110235851e-09 
  145       5.292737618682e+03       3.076652789122e+00       4.807362694110e-02       7.518595058702e+01       2.724549844045e-07      -7.094282575062e-04       8.003023568775e-09 
  146       5.252552142863e+03       3.254154950247e+00       4.866443517028e-02       7.786438613843e+01       2.707499203068e-07      -7.008782103826e-04       8.118681939577e-09 
  147       5.210907443186e+03       3.438740160069e+00       4.925353255311e-02       8.048906730052e+01       2.690583553670e-07      -6.925082686781e-04       8.137350699926e-09 
  148       5.167841649098e+03       3.630376070875e+00       4.984076746837e-02       8.305638942550e+01       2.673821565895e-07      -6.843108001856e-04       8.075569278800e-09 
  149       5.123394772172e+03       3.829021429063e+00       5.042598826083e-02       8.556270332944e+01       2.657225451764e-07      -6.762757370003e-04       7.951548301410e-09 
  150       5.077608727127e+03       4.034625897094e+00       5.100904328021e-02       8.800431552437e+01       2.640800403403e-07      -6.683904644337e-04       7.785229505296e-09 
  151       5.030527352834e+03       4.247129875451e+00       5.158978092017e-02       9.037748845043e+01       2.624544012065e-07      -6.606397082060e-04       7.598346482281e-09 
  152       4.982196433330e+03       4.466464324598e+00       5.216804965725e-02       9.267844070800e+01       2.608445667786e-07      -6.530054199194e-04       7.414486246302e-09 
  153       4.932663718834e+03       4.692550586934e+00       5.274369808986e-02       9.490334728982e+01       2.592485939430e-07      -6.454666608087e-04       7.259151627088e-09 
  154       4.881979192692e+03       4.925296618337e+00       5.331658483702e-02       9.704850635589e+01       2.576645732823e-07      -6.380050147547e-04       7.153573281092e-09 
  155       4.830195855765e+03       5.164585665832e+00       5.388660918110e-02       9.911085639689e+01       2.560937073863e-07      -6.306219263024e-04       7.095042740488e-09 
  156       4.777369054891e+03       5.410286199878e+00       5.445368334241e-02       1.010875074954e+02       2.545376755019e-07      -6.233235374234e-04       7.073977811567e-09 
  157       4.723556265525e+03       5.662255216341e+00       5.501772296157e-02       1.029755801365e+02       2.529976637210e-07      -6.161153299300e-04       7.079904341909e-09 
  158       4.668817113986e+03       5.920338040403e+00       5.557864718804e-02       1.047722062771e+02       2.514743238943e-07      -6.090020862003e-04       7.101426023208e-09 
  159       4.613213399707e+03       6.184368130463e+00       5.613637876868e-02       1.064745304152e+02       2.499677312169e-07      -6.019878492623e-04       7.126193799503e-09 
  160       4.556809117483e+03       6.454166882053e+00       5.669084413623e-02       1.080797106597e+02       2.484773404675e-07      -5.950758822384e-04       7.140874880843e-09 
  161       4.499670479718e+03       6.729543431739e+00       5.724197349791e-02       1.095849197993e+02       2.470019408856e-07      -5.882686271473e-04       7.131121362356e-09 
  162       4.441865938678e+03       7.010294461032e+00       5.778970092392e-02       1.109873463720e+02       2.455396096683e-07      -5.815676630668e-04       7.081538448752e-09 
  163       4.383462960861e+03       7.296204700073e+00       5.833397071609e-02       1.122843545465e+02       2.440885001766e-07      -5.749738355247e-04       6.979893496793e-09 
  164       4.324517986811e+03       7.587048899551e+00       5.887475695322e-02       1.134739772146e+02       2.426494660882e-07      -5.684877543707e-04       6.830433472949e-09 
  165       4.265085632517e+03       7.882589656913e+00       5.941204583075e-02       1.145544682280e+02       2.412238016108e-07      -5.621092798772e-04       6.642250389412e-09 
  166       4.205221865981e+03       8.182576540643e+00       5.994582965006e-02       1.155241492297e+02       2.398124164272e-07      -5.558373150414e-04       6.425218299250e-09 
  167       4.144984014887e+03       8.486745897320e+00       6.047610693524e-02       1.163814114366e+02       2.384158056753e-07      -5.496697629149e-04       6.190018062057e-09 
