# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  113       3.209320615058e+03       8.940027437420e-01       0.000000000000e+00      -3.032049678722e+01       7.947019735866e-08       3.340969779748e-04      -1.862130053411e-06 
  114       3.243248333483e+03       9.055947845843e-01       0.000000000000e+00      -3.093479334087e+01       7.891915972034e-08       3.309332667393e-04      -1.855035823013e-06 
  115       3.277314087994e+03       9.168998860137e-01       0.000000000000e+00      -3.154340746726e+01       7.837511604533e-08       3.278211630280e-04      -1.847362586185e-06 
  116       3.311513426790e+03       9.279068898758e-01       0.000000000000e+00      -3.214581649865e+01       7.783907379342e-08       3.247648000817e-04      -1.839247194210e-06 
  117       3.345841119201e+03       9.386047503185e-01       0.000000000000e+00      -3.274149466161e+01       7.731153590808e-08       3.217672416748e-04      -1.830838764971e-06 
  118       3.380291130545e+03       9.489825415209e-01       0.000000000000e+00      -3.332991326275e+01       7.679244544741e-08       3.188304030043e-04      -1.822299127946e-06 
  119       3.414856596979e+03       9.590294654230e-01       0.000000000000e+00      -3.391054087443e+01       7.628112782472e-08       3.159549698790e-04      -1.813803275756e-06 
  120       3.449529800354e+03       9.687348594548e-01       0.000000000000e+00      -3.448284352047e+01       7.577623061806e-08       3.131403162088e-04      -1.805539822267e-06 
  121       3.484302143072e+03       9.780882042654e-01       0.000000000000e+00      -3.504628486183e+01       7.527566090802e-08       3.103844197944e-04      -1.797711467230e-06 
  122       3.519164122937e+03       9.870791314527e-01       0.000000000000e+00      -3.560032638240e+01       7.477652010341e-08       3.076837764174e-04      -1.790535467488e-06 
  123       3.554106548373e+03       9.956977778820e-01       0.000000000000e+00      -3.614443329465e+01       7.427609660385e-08       3.050348505960e-04      -1.784195302778e-06 
  124       3.589124395706e+03       1.003935878268e+00       0.000000000000e+00      -3.667809262957e+01       7.377525476536e-08       3.024389027572e-04      -1.778685161327e-06 
  125       3.624213349690e+03       1.011785813264e+00       0.000000000000e+00      -3.720079758461e+01       7.327569037297e-08       2.998978270293e-04      -1.773939608787e-06 
  126       3.659368587604e+03       1.019240284457e+00       0.000000000000e+00      -3.771204221819e+01       7.277891335496e-08       2.974126306018e-04      -1.769879393498e-06 
  127       3.694584763870e+03       1.026292324833e+00       0.000000000000e+00      -3.821132168038e+01       7.228622278624e-08       2.949833768038e-04      -1.766410760978e-06 
  128       3.729855994659e+03       1.032935309224e+00       0.000000000000e+00      -3.869813244365e+01       7.179868081304e-08       2.926091270711e-04      -1.763424756305e-06 
  129       3.765175842515e+03       1.039162964771e+00       0.000000000000e+00      -3.917197253357e+01       7.131708548116e-08       2.902878818008e-04      -1.760796514388e-06 
  130       3.800537300956e+03       1.044969381377e+00       0.000000000000e+00      -3.963234175954e+01       7.084194245039e-08       2.880165200946e-04      -1.758384538134e-06 
  131       3.835932779098e+03       1.050349022163e+00       0.000000000000e+00      -4.007874194548e+01       7.037343557722e-08       2.857907383908e-04      -1.756029964503e-06 
  132       3.871354086263e+03       1.055296733926e+00       0.000000000000e+00      -4.051067716061e+01       6.991139634841e-08       2.836049879835e-04      -1.753555818457e-06 
  133       3.906792416592e+03       1.059807757594e+00       0.000000000000e+00      -4.092765395007e+01       6.945527214769e-08       2.814524114312e-04      -1.750766254796e-06 
  134       3.942238333661e+03       1.063877738681e+00       0.000000000000e+00      -4.132918156574e+01       6.900409333799e-08       2.793247778534e-04      -1.747445787895e-06 
  135       3.977681755091e+03       1.067502737748e+00       0.000000000000e+00      -4.171477219688e+01       6.855643914159e-08       2.772124171147e-04      -1.743358509320e-06 
  136       4.013111937167e+03       1.070679240853e+00       0.000000000000e+00      -4.208394120092e+01       6.811040230056e-08       2.751041528986e-04      -1.738247293349e-06 
  137       4.048518487591e+03       1.073404410866e+00       0.000000000000e+00      -4.243621223760e+01       6.766424598053e-08       2.729901555135e-04      -1.731888428865e-06 
  138       4.083894554610e+03       1.075676848624e+00       0.000000000000e+00      -4.277113278301e+01       6.721860954403e-08       2.708711488222e-04      -1.724266863355e-06 
  139       4.119233940263e+03       1.077495930732e+00       0.000000000000e+00      -4.308826066584e+01       6.677468659791e-08       2.687505013555e-04      -1.715426592725e-06 
  140       4.154530093066e+03       1.078861587647e+00       0.000000000000e+00      -4.338715956742e+01       6.633355777911e-08       2.666314161324e-04      -1.705417835038e-06 
  141       4.189776099148e+03       1.079774315662e+00       0.000000000000e+00      -4.366739928349e+01       6.589617701901e-08       2.645169154102e-04      -1.694297261840e-06 
  142       4.224964673394e+03       1.080235188894e+00       0.000000000000e+00      -4.392855598607e+01       6.546335727423e-08       2.624098251320e-04      -1.682128232726e-06 
  143       4.260088150583e+03       1.080245871268e+00       0.000000000000e+00      -4.417021248531e+01       6.503575571624e-08       2.603127590722e-04      -1.668981033164e-06 
  144       4.295138476526e+03       1.079808628499e+00       0.000000000000e+00      -4.439195849131e+01       6.461385837191e-08       2.582281026778e-04      -1.654933115557e-06 
  145       4.330107199205e+03       1.078926340079e+00       0.000000000000e+00      -4.459339087597e+01       6.419796420697e-08       2.561579966089e-04      -1.640069343552e-06 
  146       4.364985459916e+03       1.077602511265e+00       0.000000000000e+00      -4.477411393485e+01       6.378816864479e-08       2.541043199745e-04      -1.624482239602e-06 
  147       4.399763984402e+03       1.075841285059e+00       0.000000000000e+00      -4.493373964896e+01       6.338434651246e-08       2.520686732673e-04      -1.608272235765e-06 
  148       4.434433073999e+03       1.073647454194e+00       0.000000000000e+00      -4.507188794667e+01       6.298613440642e-08       2.500523609947e-04      -1.591547927756e-06 
  149       4.468982596770e+03       1.071026473122e+00       0.000000000000e+00      -4.518818696551e+01       6.259291246966e-08       2.480563740074e-04      -1.574426332244e-06 
  150       4.503401978644e+03       1.067984469996e+00       0.000000000000e+00      -4.528227331399e+01       6.220378557285e-08       2.460813715254e-04      -1.557033147395e-06 
  151       4.537680194561e+03       1.064528258656e+00       0.000000000000e+00      -4.535379233352e+01       6.181756389136e-08       2.441276628612e-04      -1.539503016661e-06 
  152       4.571805759605e+03       1.060665350614e+00       0.000000000000e+00      -4.540239836015e+01       6.143274287044e-08       2.421951888399e-04      -1.521979795816e-06 
  153       4.605767612127e+03       1.056403948661e+00       0.000000000000e+00      -4.542775732765e+01       6.104798124317e-08       2.402839299336e-04      -1.504590461863e-06 
  154       4.639557874111e+03       1.051752901792e+00       0.000000000000e+00      -4.542955429760e+01       6.066368074527e-08       2.383952353244e-04      -1.487362153843e-06 
  155       4.673169331649e+03       1.046721768927e+00       0.000000000000e+00      -4.540748713157e+01       6.028065884040e-08       2.365306429271e-04      -1.470294091246e-06 
  156       4.706594561732e+03       1.041320848699e+00       0.000000000000e+00      -4.536126448438e+01       5.989966861131e-08       2.346914556667e-04      -1.453382790334e-06 
  157       4.739825927935e+03       1.035561191346e+00       0.000000000000e+00      -4.529060607783e+01       5.952139158974e-08       2.328787280801e-04      -1.436621934134e-06 
  158       4.772855576096e+03       1.029454610606e+00       0.000000000000e+00      -4.519524297448e+01       5.914643033550e-08       2.310932526992e-04      -1.420002240443e-06 
  159       4.805675430001e+03       1.023013695604e+00       0.000000000000e+00      -4.507491785143e+01       5.877530076131e-08       2.293355462169e-04      -1.403511327818e-06 
